"'@timestamp","host.name","ci.class","ci.class_name","ci.environment","ci.name","ci.operational_status","system.cpu.total.norm.pct"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",cut,"SQLSVR2005@kw2tod06",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",prod,"MSSQLSERVER@vksdcpdb0004",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",prod,"SQL2008@vskau1p954",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",sandbox,"MSSQLSERVER@vkau1sdb0001",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",cut,"MSSQLSERVER@vcwch1c0005",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",prod,"MSSQLSERVER@vksdcpdb0006",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",ete,"MSSQLSERVER@vskblyd0082",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",prod,"MSSQLSERVER@rpsdrjh0001",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",prod,"MSFT SQL Instance@VKSDCPDB0005",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",dev,"MSSQLSERVER@vskpvps0031",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",dre,"MSSQLSERVER@vkau1rdb0003",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",prod,"MSSQLSERVER@vskau1p1428",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",cut,"MSSQLSERVER@kw3mnc41",Operational,"'-"
"2026-09-22 07:53:51","metricbeat-sql-mssql.g-prod-rhel-us-central1-a-bridge-3","cmdb_ci_db_mssql_instance","MSFT SQL Instance",prod,"MSSQLSERVER@vkau1pap0006",Operational,"'-"
