docs,hosts,"data_stream.dataset"
100589,4,"apm.app.clmsdoc_batch"
99578,4,"apm.app.cna_surety_ecs_service"
98777,2,"apm.app.entclt_pro"
97920,2,"apm.app.nbtarget_salesapp_api"
95010,2,"apm.app.spc_executed_bond_intake_view_api"
95007,0,"apm.app.automated_payments_winservice"
94741,2,"apm.app.cedelite_batch"
92395,2,"apm.app.ccint_file_pro"
92120,3,"apm.app.cna_surety_agency_terms_agreement"
92019,2,"apm.app.rmw_ledger_data_api"
90963,4,"apm.app.cna_surety_portal_agency_service"
90693,2,"apm.app.covers_subscriber"
89407,3,"apm.app.cna_surety_arms_services"
89164,4,"apm.app.cmt_doc_api"
87806,4,"apm.app.cna_surety_segment_service"
87097,4,"apm.app.cna_find_an_agent"
86603,1,"apm.app.enterprisetemplatemanager2_0"
86472,2,"apm.app.champ_workintake_services"
85694,4,"apm.app.champ_surety_data_api"
83763,2,"apm.app.hcs_batch"
83520,2,"apm.app.bond_management_api"
82566,2,"apm.app.adm_cdt"
82080,2,"apm.app.rmw_services_data_api"
81778,3,"apm.app.epc_codelibraryfeed_pro"
80631,3,"apm.app.epc_voscofeed_pro"
79679,1,"apm.app.aem"
78022,2,"apm.app.nbtarget_salesapp_batch"
77760,2,"apm.app.rmw_workday_batch_data_api"
77683,4,"apm.app.cna_surety_email_framework"
76291,2,"apm.app.rmw_cfr_data_api"
74867,3,"apm.app.surdist_bpst_sens_batch"
73898,4,"apm.app.surcore_encapture_contact_api"
72754,3,"apm.app.tax_1099_data_api"
70900,1,"windows.perfmon"
69228,2,"apm.app.papc_papcservices1"
69120,2,"apm.app.smart_iq_payload_archive"
69120,2,"apm.app.efms"
68660,4,"apm.app.cna_email_framework"
67611,2,"apm.app.ecs_event_api"
67534,3,"apm.app.cna_agency_portal"
64762,3,"apm.app.cna_surety_adobefs_service"
63044,4,"apm.app.champ_surety_service_api"
60045,13,"elastic_agent.metricbeat"
55518,1,"apm.app.papc_uwservices1"
55380,3,"apm.app.epc_papcintcons_pro"
51834,1,"system.core"
50117,2,"apm.app.entofac_batch"
47972,3,"apm.app.devxplay_monorepo_batch_api"
47055,1,"vsphere.network"
46080,1,"apm.app.abp_data_api"
42886,3,"apm.app.covers_scheduler"
40584,1,"apm.app.etm"
40442,2,"apm.app.sie_rule_orchestrator"
40320,1,"apm.app.smartcomm_release_management_ws"
40010,2,"apm.app.sie_file_orchestrator"
39525,1,"apm.app.dataprotector_data_manager"
37647,1,"apm.app.dataprotector_webcryptor"
37463,2,"apm.app.devxplay_java11_api"
36308,13,"elastic_agent.filebeat"
36050,2,"apm.app.devx_java21_api"
36022,2,"apm.app.devxplay_java17_api"
34698,1,"apm.app.bpst_sens_batch"
34581,2,"apm.app.devxplay_java8_api"
34560,1,"apm.app.nbtarget_salesapp_data"
34533,2,"apm.app.devxplay_java25_api"
34248,1,"apm.app.epc_genpolnotice_pro"
31410,2,"apm.app.epc_jsonschema2pojo_converter"
30731,2,"apm.app.template_sb3_g8_j21_project"
26714,13,"elastic_agent.filebeat_input"
25920,1,"kubernetes.system"
25768,2,"apm.app.test_gradle_sb2_g7_j11_app"
23941,2,"apm.app.test_gradle_sb3_g8_j17_app"
23908,2,"apm.app.test_gradle_sb4_g9_j25_app"
23040,1,"apm.app.ests"
21965,2,"apm.app.test_gradle_sb2_g7_j8_app"
16738,1,"vsphere.datastore"
14380,0,"fleet_server.agent_versions"
13401,1,"vsphere.host"
13212,0,"apm.app.automated_payments_web"
